Episode time step,Mean silhouette score seed_0,Mean silhouette score seed_10,Mean silhouette score seed_20,Mean silhouette score seed_40,Mean silhouette score seed_60,Mean silhouette score seed_80,Mean silhouette score seed_100,Mean silhouette score
1901,,,,0.57186157,,,,0.57186157
1903,,,0.5431652,,,,,0.5431652
1904,,0.5336962,,,,,,0.5336962
1905,,,,,0.5468243,,,0.5468243
1907,,,,,,,0.548908,0.548908
1909,0.55064833,,,,,,,0.55064833
1913,,,,,,0.54618984,,0.54618984
1914,,,,0.5540781,,,,0.5540781
1919,,,0.5567548,,,,,0.5567548
1920,0.58227426,,,,,,,0.58227426
1921,,,,,,,0.5484073,0.5484073
1922,,,,,0.54247993,,,0.54247993
1927,,,,0.5792574,,,,0.5792574
1929,,0.53889483,,,,0.5586587,,0.5487767649999999
1937,,,0.5526667,,,,,0.5526667
1941,0.551434,,,,,,,0.551434
1943,,,,,,,0.543422,0.543422
1945,,,,,0.5320895,,,0.5320895
1947,,,,,,0.51399565,,0.51399565
1948,,0.5645981,,,,,,0.5645981
1957,,,0.5558885,,,,,0.5558885
1958,,,,0.5743162,,,,0.5743162
1963,,0.5528101,,,,,,0.5528101
1965,,,,,0.5442599,0.5424153,,0.5433376000000001
1967,0.55697984,,,,,,,0.55697984
1970,,,,,,,0.56150776,0.56150776
1971,,,0.55952567,,,,,0.55952567
1972,,,,0.5519246,,,,0.5519246
1974,,,,,,0.5394757,,0.5394757
1978,0.5335936,0.5599199,,,,,,0.54675675
1985,,,,,,,0.56865746,0.56865746
1986,0.5580911,,,,,,,0.5580911
1988,,,,,,0.53725654,,0.53725654
1995,,,,0.5667504,,,,0.5667504
1998,,,,,,,0.54711103,0.54711103
2001,0.5748058,,,,,,,0.5748058
2004,,,,,0.53989553,,,0.53989553
2009,,,,0.55874324,,,,0.55874324
2012,,,0.5502888,,,,,0.5502888
2013,0.56208396,0.5405969,,,,,,0.55134043
2016,,,,,0.56218946,,0.5833763,0.57278288
2026,,0.54388994,,,,,,0.54388994
2027,,,,,0.5303592,,,0.5303592
2030,0.5677382,,,,,,,0.5677382
2033,,,,0.56113523,,,,0.56113523
2036,,,0.5390628,,,,,0.5390628
2038,,,,,,0.5547163,,0.5547163
2048,,,,,,0.5590071,,0.5590071
2054,,0.5445363,,,,,,0.5445363
2055,,,0.5515908,,0.5465064,,,0.5490486
2063,0.5537188,,,,,,,0.5537188
2064,,,,,0.54937375,,,0.54937375
2069,,,,,,0.54279184,,0.54279184
2073,,0.5397524,,,,,,0.5397524
2076,,,0.5305313,,,,,0.5305313
2077,0.5846382,,,,,,,0.5846382
2079,,,,,0.5451927,,,0.5451927
2081,,,,,,0.54549336,,0.54549336
2084,,,,,,,0.5564646,0.5564646
2089,,0.53168875,0.52775896,,,,,0.5297238550000001
2093,0.5655376,,,0.54529065,,,,0.555414125
2097,,,,,,0.5567909,,0.5567909
2098,,,,,,,0.5346069,0.5346069
2100,,,,,0.534964,,,0.534964
2107,,0.5329539,,0.5521985,,,,0.5425762000000001
2111,,,0.5225415,,,,,0.5225415
2120,,,,,0.5377361,,,0.5377361
2121,,0.5533601,,,,,0.5364084,0.54488425
2122,,,0.5489193,,,,,0.5489193
2124,,,,,,0.5596809,,0.5596809
2130,,,,0.55545586,,,,0.55545586
2134,,,,,0.54234636,,,0.54234636
2136,,,,,,0.56593394,,0.56593394
2139,,,,0.5491817,,,,0.5491817
2148,,,,,0.5263147,,,0.5263147
2151,,,,,,0.54743516,,0.54743516
2163,0.5605668,,,,,,,0.5605668
2164,,,,,,,0.5515465,0.5515465
2170,,0.53737265,,,,,,0.53737265
2171,,,,0.5612758,,,,0.5612758
2173,,,,,0.5453245,,,0.5453245
2178,,,0.5339343,,,0.549683,,0.54180865
2181,,0.55112773,,,,,,0.55112773
2183,,,,,,,0.54947716,0.54947716
2188,,,0.54068524,,,,,0.54068524
2189,,,,,0.53761965,,,0.53761965
2192,,,,0.53867143,,,,0.53867143
2204,,,,0.5506401,,,,0.5506401
2205,,,,,0.5220156,,,0.5220156
2206,,,0.5320739,,,,,0.5320739
2210,,0.5450588,,,,,,0.5450588
2213,,,,,,,0.5456457,0.5456457
2217,,,0.5217677,,,,,0.5217677
2220,,,,,0.5564949,,,0.5564949
2223,,0.5476903,,,,,,0.5476903
2224,,,,0.52837735,,,,0.52837735
2225,,,,,,,0.5074973,0.5074973
2228,,,,,,0.5512156,,0.5512156
2232,0.5599139,,,,,,,0.5599139
2234,,0.5374962,,,,,,0.5374962
2237,,,0.5306037,,,,,0.5306037
2243,,,,,,,0.5777366,0.5777366
2244,,0.5580658,,,,,,0.5580658
2247,,,,,,0.54199576,,0.54199576
2248,,,,,0.54243463,,,0.54243463
2249,,,,0.53661263,,,,0.53661263
2251,0.5601525,,,,,,,0.5601525
2256,,,,,,,0.5398466,0.5398466
2261,,,,,,0.544623,,0.544623
2271,,,,,0.5440331,,,0.5440331
2274,,,,0.5512527,,0.55566067,,0.553456685
2275,,,0.52039474,,,,,0.52039474
2279,0.55402553,,,,,,0.5572741,0.555649815
2285,,0.53655636,,,,,,0.53655636
2287,,,,,,0.53149074,,0.53149074
2288,,,,0.56516594,,,,0.56516594
2290,0.54544336,,,,,,,0.54544336
2293,,,,,0.53404486,,,0.53404486
2301,,,,,,0.55690396,,0.55690396
